details,details_assist1PlayerId,details_assist1PlayerTotal,details_assist2PlayerId,details_assist2PlayerTotal,details_awaySOG,details_awayScore,details_blockingPlayerId,details_committedByPlayerId,details_descKey,details_discreteClip,details_discreteClipFr,details_drawnByPlayerId,details_duration,details_eventOwnerTeamId,details_goalieInNetId,details_highlightClip,details_highlightClipFr,details_highlightClipSharingUrl,details_highlightClipSharingUrlFr,details_hitteePlayerId,details_hittingPlayerId,details_homeSOG,details_homeScore,details_losingPlayerId,details_playerId,details_reason,details_scoringPlayerId,details_scoringPlayerTotal,details_secondaryReason,details_shootingPlayerId,details_shotType,details_typeCode,details_winningPlayerId,details_xCoord,details_yCoord,details_zoneCode,eventId,homeTeamDefendingSide,periodDescriptor,periodDescriptor_maxRegulationPeriods,periodDescriptor_number,periodDescriptor_otPeriods,periodDescriptor_periodType,pptReplayUrl,situationCode,sortOrder,timeInPeriod,timeRemaining,typeCode,typeDescKey
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,right,,3,1,,REG,,1551,8,00:00,20:00,520,period-start
,,,,,,,,,,,,,,52,,,,,,,,,,8476889,,,,,,,,,8480289,0,0,N,51,right,,3,1,,REG,,1551,11,00:00,20:00,502,faceoff
,,,,,,,,,,,,,,19,,,,,,8474568,8480281,,,,,,,,,,,,,96,-18,N,68,right,,3,1,,REG,,1551,12,00:24,19:36,503,hit
,,,,,,,,,,,,,,52,,,,,,,,,,,8474568,,,,,,,,,97,-19,D,65,right,,3,1,,REG,,1551,13,00:25,19:35,504,giveaway
,,,,,,,8476331,,,,,,,19,,,,,,,,,,,,blocked,,,,8477402,,,,82,-6,D,62,right,,3,1,,REG,,1551,21,00:47,19:13,508,blocked-shot
,,,,,,,,,,,,,,,,,,,,,,,,,,puck-in-netting,,,,,,,,,,,8,right,,3,1,,REG,,1551,22,00:49,19:11,516,stoppage
,,,,,,,,,,,,,,52,,,,,,,,,,8480023,,,,,,,,,8476480,69,-22,D,63,right,,3,1,,REG,,1551,23,00:49,19:11,502,faceoff
,,,,,,,,,,,,,,52,,,,,,8475764,8476480,,,,,,,,,,,,,-34,39,O,85,right,,3,1,,REG,,1551,24,01:01,18:59,503,hit
,,,,,,,,,,,,,,52,,,,,,8477402,8480014,,,,,,,,,,,,,59,39,D,91,right,,3,1,,REG,,1551,25,01:06,18:54,503,hit
,8476892,5,8477402,5,,1,,,,6372346901112,6372348561112,,,19,8476945,6372348066112,6372347968112,https://nhl.com/video/stl-wpg-kyrou-scores-goal-against-connor-hellebuyck-6372348066112,https://nhl.com/fr/video/stl-wpg-kyrou-marque-un-but-contre-connor-hellebuyck-6372347968112,,,,0,,,,8479385,3,,,backhand,,,84,0,O,66,right,,3,1,,REG,https://wsr.nhle.com/sprites/20242025/2024030157/ev66.json,1551,26,01:10,18:50,505,goal
,,,,,,,,,,,,,,19,,,,,,,,,,8476392,,,,,,,,,8475170,0,0,N,67,right,,3,1,,REG,,1551,29,01:10,18:50,502,faceoff
,,,,,,,,,,,,,,19,,,,,,,,,,,8482089,,,,,,,,,4,38,N,81,right,,3,1,,REG,,1551,30,01:13,18:47,504,giveaway
,,,,,,,,,,,,,,19,,,,,,,,,,,8481598,,,,,,,,,-89,20,D,94,right,,3,1,,REG,,1551,31,01:24,18:36,504,giveaway
,,,,,,,8475753,,,,,,,52,,,,,,,,,,,,blocked,,,,8477940,,,,-75,4,D,73,right,,3,1,,REG,,1551,32,01:25,18:35,508,blocked-shot
,,,,,0,,,,,,,,,52,8476412,,,,,,,1,,,,,,,,8480049,wrist,,,-36,-30,O,74,right,,3,1,,REG,,1551,33,01:30,18:30,506,shot-on-goal
,,,,,,,,,,,,,,,,,,,,,,,,,,puck-in-netting,,,,,,,,,,,9,right,,3,1,,REG,,1551,34,01:32,18:28,516,stoppage
,,,,,,,,,,,,,,19,,,,,,,,,,8476392,,,,,,,,,8480023,-69,-22,D,75,right,,3,1,,REG,,1551,36,01:32,18:28,502,faceoff
,,,,,1,,,,,,,,,19,8476945,,,,,,,1,,,,,,,,8476897,slap,,,28,35,O,82,right,,3,1,,REG,,1551,40,02:07,17:53,506,shot-on-goal
,,,,,,,,,,,,,,52,,,,,,8475170,8479293,,,,,,,,,,,,,-38,36,D,527,right,,3,1,,REG,,1551,48,02:36,17:24,503,hit
,,,,,,,,,,,,,,52,,,,,,8483516,8479293,,,,,,,,,,,,,37,-42,D,123,right,,3,1,,REG,,1551,51,02:45,17:15,503,hit
,,,,,,,,,,,,,,19,,,,,,8474568,8477573,,,,,,,,,,,,,97,0,N,139,right,,3,1,,REG,,1551,60,03:19,16:41,503,hit
,,,,,,,,,,,,,,19,,,,,,8478891,8477573,,,,,,,,,,,,,57,39,N,150,right,,3,1,,REG,,1551,61,03:26,16:34,503,hit
,,,,,,,,,,,,,,19,8476945,,,,,,,,,,,wide-left,,,,8480281,slap,,,49,34,O,104,right,,3,1,,REG,,1551,62,03:27,16:33,507,missed-shot
,,,,,,,,,,,,,,19,8476945,,,,,,,,,,,wide-left,,,,8476892,slap,,,34,-39,O,105,right,,3,1,,REG,,1551,63,03:30,16:30,507,missed-shot
,,,,,,,,,,,,,,19,,,,,,8477938,8476892,,,,,,,,,,,,,80,-37,N,205,right,,3,1,,REG,,1551,66,03:40,16:20,503,hit
,,,,,,,8479293,,,,,,,19,,,,,,,,,,,,blocked,,,,8477402,,,,42,-21,D,108,right,,3,1,,REG,,1551,67,03:41,16:19,508,blocked-shot
