player,entry_rate,retrieval_rate,exit_rate,pass_rate,shot_xg_rate,es_min
Solovyov Ilya,201.969,628.937,329.528,2010.827,8.703,33.9
Iorio Vincent,193.508,428.482,253.822,1369.634,3.534,47.8
Jost Tyson,336.721,251.501,166.282,1182.679,15.169,28.9
Kulak Brett,123.257,406.493,220.969,1192.656,5.11,187.9
Stecher Troy,131.989,389.368,239.23,1239.047,6.757,36.4
Maatta Olli,121.079,331.795,177.865,1013.219,2.449,127.8
Grundstrom Carl,201.555,237.947,257.543,965.785,11.367,21.4
Ellis Colten,3.254,348.125,14.641,637.686,0.0,36.9
Hunt Daemon,61.364,246.916,87.662,599.026,2.813,41.1
Zamula Egor,51.438,231.472,140.778,835.871,1.921,88.7
Beecher John,130.128,147.438,118.786,438.733,6.717,100.5
Schwindt Cole,126.572,133.874,107.099,606.085,5.701,24.6
Whitecloud Zach,44.136,204.371,109.574,631.535,1.733,312.7
Hughes Quinn,130.222,117.567,119.584,733.096,4.107,327.1
Viel Jeffrey,124.508,106.047,95.313,524.222,8.467,139.8
Marchment Mason,129.962,79.163,97.987,781.319,7.072,232.7
Chinakhov Yegor,108.738,74.14,68.47,443.24,7.194,412.7
Sherwood Kiefer,111.491,68.985,79.437,419.253,6.752,258.3
Carlson John,49.612,121.746,78.825,536.108,2.769,367.6
Stastney Spencer,34.465,128.432,57.225,381.395,1.292,184.5
Reichel Lukas,105.602,55.345,71.249,381.693,4.855,94.3
Texier Alexandre,92.121,57.374,60.606,365.253,6.085,74.2
Soderblom Elmer,83.815,54.014,57.429,251.134,4.656,193.3
Heinen Danton,68.271,63.94,56.043,283.017,3.907,235.5
Ohgren Liam,71.345,57.916,52.879,252.646,4.257,143.0
Buium Zeev,51.922,74.768,62.684,350.616,1.441,317.8
Myers Tyler,25.952,100.038,50.245,282.309,1.369,397.6
Blankenburg Nick,36.01,88.991,64.57,307.744,1.84,289.9
Garland Conor,76.033,48.039,52.359,293.246,3.421,347.2
Girard Samuel,38.409,83.838,58.617,303.188,1.035,777.9
