unit,players,type,toi_sec,toi_min,gf,ga,sf,sa,xgf,xga,gf_pct,sf_pct,xgf_pct,team,complementarity,pass_links,pass_links_per60,chemistry_index
LaCombe-Trouba,"['LaCombe Jackson', 'Trouba Jacob']",pairing,66727,1112.1,93,99,849,735,49.83,45.25,48.4,53.6,52.4,Anaheim Ducks,3485.544,535,28.86,-0.106
Trouba-Zellweger,"['Trouba Jacob', 'Zellweger Olen']",pairing,27974,466.2,37,34,337,257,19.24,16.71,52.1,56.7,53.5,Anaheim Ducks,2982.213,191,24.58,-0.241
Gudas-Zellweger,"['Gudas Radko', 'Zellweger Olen']",pairing,23250,387.5,20,23,229,209,12.93,13.06,46.5,52.3,49.7,Anaheim Ducks,2698.591,159,24.62,-0.263
Helleson-Mintyukov,"['Helleson Drew', 'Mintyukov Pavel']",pairing,22319,372.0,28,17,243,191,13.8,12.05,62.2,56.0,53.4,Anaheim Ducks,2147.457,158,25.49,-0.29
Mintyukov-Moore,"['Mintyukov Pavel', 'Moore Ian']",pairing,21775,362.9,26,26,234,185,13.82,11.21,50.0,55.8,55.2,Anaheim Ducks,2311.632,131,21.66,-0.36
Helleson-LaCombe,"['Helleson Drew', 'LaCombe Jackson']",pairing,20879,348.0,17,30,250,256,14.13,16.61,36.2,49.4,46.0,Anaheim Ducks,3567.038,166,28.62,-0.104
Carlson-Mintyukov,"['Carlson John', 'Mintyukov Pavel']",pairing,19870,331.2,13,16,142,133,8.09,8.33,44.8,51.6,49.3,Anaheim Ducks,4650.297,124,22.47,-0.149
Moore-Zellweger,"['Moore Ian', 'Zellweger Olen']",pairing,12954,215.9,8,14,75,73,3.96,4.79,36.4,50.7,45.3,Anaheim Ducks,3166.596,75,20.84,-0.307
LaCombe-Moore,"['LaCombe Jackson', 'Moore Ian']",pairing,12647,210.8,10,5,88,79,5.24,4.94,66.7,52.7,51.4,Anaheim Ducks,3693.973,88,25.05,-0.172
Gudas-Mintyukov,"['Gudas Radko', 'Mintyukov Pavel']",pairing,11234,187.2,15,8,111,120,6.84,7.63,65.2,48.1,47.3,Anaheim Ducks,1931.605,84,26.92,-0.276
Gudas-LaCombe,"['Gudas Radko', 'LaCombe Jackson']",pairing,10806,180.1,14,15,115,117,7.62,7.13,48.3,49.6,51.6,Anaheim Ducks,3151.962,53,17.66,-0.378
Moore-Trouba,"['Moore Ian', 'Trouba Jacob']",pairing,9266,154.4,3,5,40,35,1.9,2.22,37.5,53.3,46.2,Anaheim Ducks,2520.452,24,9.32,-0.612
Mintyukov-Trouba,"['Mintyukov Pavel', 'Trouba Jacob']",pairing,8845,147.4,10,13,61,61,3.54,3.47,43.5,50.0,50.5,Anaheim Ducks,2112.093,92,37.44,-0.032
Helleson-Zellweger,"['Helleson Drew', 'Zellweger Olen']",pairing,7215,120.2,9,3,59,63,3.47,3.77,75.0,48.4,47.9,Anaheim Ducks,3050.781,48,23.95,-0.249
Helleson-Hinds,"['Helleson Drew', 'Hinds Tyson']",pairing,6403,106.7,4,11,78,85,3.61,5.54,26.7,47.9,39.4,Anaheim Ducks,2127.718,31,17.43,-0.467
Gudas-Moore,"['Gudas Radko', 'Moore Ian']",pairing,6041,100.7,4,9,63,78,3.12,5.28,30.8,44.7,37.1,Anaheim Ducks,2293.888,26,15.49,-0.496
Helleson-Moore,"['Helleson Drew', 'Moore Ian']",pairing,5877,98.0,9,13,118,99,7.22,6.42,40.9,54.4,52.9,Anaheim Ducks,2569.892,21,12.86,-0.531
Carlson-Moore,"['Carlson John', 'Moore Ian']",pairing,4351,72.5,6,3,25,27,1.57,1.6,66.7,48.1,49.4,Anaheim Ducks,5432.305,26,21.51,-0.106
Carlson-LaCombe,"['Carlson John', 'LaCombe Jackson']",pairing,4052,67.5,1,3,18,23,0.93,1.51,25.0,43.9,38.3,Anaheim Ducks,7300.107,40,35.54,0.355
Carlson-Zellweger,"['Carlson John', 'Zellweger Olen']",pairing,3197,53.3,3,3,40,24,1.93,1.13,50.0,62.5,63.2,Anaheim Ducks,6264.669,21,23.65,0.01
Hinds-Moore,"['Hinds Tyson', 'Moore Ian']",pairing,2125,35.4,1,1,18,21,0.88,1.14,50.0,46.2,43.5,Anaheim Ducks,2247.795,9,15.25,-0.505
Carlson-Hinds,"['Carlson John', 'Hinds Tyson']",pairing,1513,25.2,1,5,33,28,1.7,1.54,16.7,54.1,52.5,Anaheim Ducks,4483.591,10,23.79,-0.134
Gudas-Helleson,"['Gudas Radko', 'Helleson Drew']",pairing,1309,21.8,0,0,3,3,0.13,0.21,,50.0,37.0,Anaheim Ducks,2137.628,9,24.75,
Gudas-Hinds,"['Gudas Radko', 'Hinds Tyson']",pairing,1110,18.5,1,0,5,4,0.32,0.18,100.0,55.6,63.9,Anaheim Ducks,1897.332,6,19.46,-0.442
Hinds-Trouba,"['Hinds Tyson', 'Trouba Jacob']",pairing,1001,16.7,2,0,14,25,0.73,1.68,100.0,35.9,30.2,Anaheim Ducks,2086.031,4,14.39,-0.537
LaCombe-Zellweger,"['LaCombe Jackson', 'Zellweger Olen']",pairing,745,12.4,0,0,1,1,0.06,0.06,,50.0,52.1,Anaheim Ducks,4222.146,7,33.83,
Hinds-Warren,"['Hinds Tyson', 'Warren Noah']",pairing,691,11.5,0,0,4,3,0.12,0.19,,57.1,39.9,Anaheim Ducks,,0,0.0,
Gudas-Trouba,"['Gudas Radko', 'Trouba Jacob']",pairing,637,10.6,0,0,0,0,0.0,0.0,,,,Anaheim Ducks,2101.308,3,16.95,
Mintyukov-Zellweger,"['Mintyukov Pavel', 'Zellweger Olen']",pairing,499,8.3,0,0,0,0,0.0,0.0,,,,Anaheim Ducks,2726.109,8,57.72,
Carlson-Helleson,"['Carlson John', 'Helleson Drew']",pairing,403,6.7,1,0,6,3,0.25,0.18,100.0,66.7,58.1,Anaheim Ducks,5189.475,6,53.6,0.575
Helleson-Trouba,"['Helleson Drew', 'Trouba Jacob']",pairing,366,6.1,0,0,0,0,0.0,0.0,,,,Anaheim Ducks,2331.513,2,19.67,
LaCombe-Mintyukov,"['LaCombe Jackson', 'Mintyukov Pavel']",pairing,357,6.0,0,0,0,0,0.0,0.0,,,,Anaheim Ducks,3185.002,1,10.08,
Carlson-Trouba,"['Carlson John', 'Trouba Jacob']",pairing,313,5.2,0,0,1,0,0.03,0.0,,100.0,100.0,Anaheim Ducks,5079.993,2,23.0,
Hinds-Zellweger,"['Hinds Tyson', 'Zellweger Olen']",pairing,216,3.6,0,0,0,0,0.0,0.0,,,,Anaheim Ducks,2611.629,2,33.33,
LaCombe-Warren,"['LaCombe Jackson', 'Warren Noah']",pairing,107,1.8,0,0,0,1,0.0,0.15,,0.0,0.0,Anaheim Ducks,,0,0.0,
Peeke-Zadorov,"['Peeke Andrew', 'Zadorov Nikita']",pairing,35553,592.5,50,48,380,440,22.34,28.17,51.0,46.3,44.2,Boston Bruins,2846.8,243,24.61,-0.251
Aspirot-McAvoy,"['Aspirot Jonathan', 'McAvoy Charlie']",pairing,34707,578.5,52,40,475,504,27.78,30.04,56.5,48.5,48.0,Boston Bruins,3417.784,237,24.58,-0.205
Lindholm-Lohrei,"['Lindholm Hampus', 'Lohrei Mason']",pairing,22954,382.6,28,19,258,215,14.71,13.61,59.6,54.5,51.9,Boston Bruins,3849.944,181,28.39,-0.086
Lindholm-Peeke,"['Lindholm Hampus', 'Peeke Andrew']",pairing,22757,379.3,26,33,265,288,14.79,16.79,44.1,47.9,46.8,Boston Bruins,3437.748,170,26.89,-0.153
McAvoy-Zadorov,"['McAvoy Charlie', 'Zadorov Nikita']",pairing,21428,357.1,24,22,184,191,10.96,11.32,52.2,49.1,49.2,Boston Bruins,3894.396,163,27.38,-0.104
